일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름
828299,15,이마트 미아점,23,상추,100g,740,15-Oct,예냉적상추.봉지 200g  2580원              예냉적상추200g1봉지 1980원,2015-10-29,2,대형마트,290000,성북구
828300,15,이마트 미아점,22,오이,1개,390,15-Oct,.,2015-10-29,2,대형마트,290000,성북구
828316,13,돈암제일시장,22,오이,1개,400,15-Oct,,2015-10-29,1,전통시장,290000,성북구
828329,32,영천시장,25,무,1개(1.5kg),1000,15-Oct,제주,2015-10-29,1,전통시장,410000,서대문구
828330,32,영천시장,24,양파,1망(1.3kg),3000,15-Oct,무안. ,2015-10-29,1,전통시장,410000,서대문구
828331,32,영천시장,23,상추,1봉지(100g),500,15-Oct,이천,2015-10-29,1,전통시장,410000,서대문구
828336,32,영천시장,18,닭고기,1마리(1.13kg),6500,15-Oct,하림 신성토종닭(12호),2015-10-29,1,전통시장,410000,서대문구
828345,220,굿모닝마트 유진점,25,무,1개(1.6kg),1490,15-Oct,제주 ,2015-10-29,2,대형마트,410000,서대문구
828346,220,굿모닝마트 유진점,24,양파,1망(2.1kg),3980,15-Oct,무한,2015-10-29,2,대형마트,410000,서대문구
828352,220,굿모닝마트 유진점,18,닭고기,1마리 (1.05kg),8900,15-Oct,올품토종닭.행사가,2015-10-29,2,대형마트,410000,서대문구
828353,220,굿모닝마트 유진점,17,달걀,10개(60g),3990,15-Oct,프라임L 1등급란,2015-10-29,2,대형마트,410000,서대문구
828361,33,현대백화점 신촌점,25,무,1개(1.7kg),1500,15-Oct,제주. 친환경,2015-10-29,2,대형마트,410000,서대문구
828362,33,현대백화점 신촌점,24,양파,1망(1.9kg),3900,15-Oct,무안. 문경미네. ,2015-10-29,2,대형마트,410000,서대문구
828363,33,현대백화점 신촌점,23,상추,1봉지(100g),1800,15-Oct,충주. 친환경,2015-10-29,2,대형마트,410000,서대문구
828364,33,현대백화점 신촌점,22,오이,1개(다다기오이),500,15-Oct,경기 이천 ,2015-10-29,2,대형마트,410000,서대문구
828369,33,현대백화점 신촌점,17,달걀,10개,3200,15-Oct,신선 특란,2015-10-29,2,대형마트,410000,서대문구
828377,31,인왕시장,25,무,1개(1kg),1000,15-Oct,제주 ,2015-10-29,1,전통시장,410000,서대문구
828378,31,인왕시장,24,양파,1망(1.5kg),3000,15-Oct,무안,2015-10-29,1,전통시장,410000,서대문구
828384,31,인왕시장,18,닭고기,1마리(1kg),4500,15-Oct,신선육. 해마루 유통,2015-10-29,1,전통시장,410000,서대문구
828385,31,인왕시장,17,달걀,10개(65g),3000,15-Oct,으뜸 영양란,2015-10-29,1,전통시장,410000,서대문구
828411,10,용문시장,23,상추,100g),1000,15-Oct,,2015-10-29,1,전통시장,170000,용산구
828427,63,농협 하나로마트 용산점,23,상추,100g),1280,15-Oct,뜨라네 프레미엄,2015-10-29,2,대형마트,170000,용산구
828443,6,이마트 용산점,23,상추,1봉지180g,1480,15-Oct,예냉적상추,2015-10-29,2,대형마트,170000,용산구
828458,26,신창시장,24,양파,1망(1.5kg),3300,15-Oct,무안,2015-10-29,1,전통시장,320000,도봉구
828473,28,홈플러스 방학점,25,무,1개(2kg),1200,15-Oct,제주도,2015-10-29,2,대형마트,320000,도봉구
828474,28,홈플러스 방학점,24,양파,1망(1.5kg),3460,15-Oct,무안,2015-10-29,2,대형마트,320000,도봉구
828489,27,이마트 창동점,25,무,1개(2.2kg),1080,15-Oct,제주도,2015-10-29,2,대형마트,320000,도봉구
828490,27,이마트 창동점,24,양파,1망(1.5kg),2490,15-Oct,무안,2015-10-29,2,대형마트,320000,도봉구
828539,56,롯데백화점,23,상추,1봉지(100g),1800,15-Oct,친환경푸룸적상추,2015-10-29,2,대형마트,140000,중구
828571,2,신세계백화점,23,상추,1봉지(100g),1320,15-Oct,국내산프레쉬스타 (적상추150g1980원,2015-10-29,2,대형마트,140000,중구
828587,112,애경백화점,23,상추,1봉지,1890,15-Oct,국내산적상추,2015-10-29,2,대형마트,530000,구로구
