"Bahamas","2007","500790","Woven fabric of silk, nes","Re-Export","10","0","Weight in kilograms","0"
"Bahamas","2004","500600","Silk yarn retail, silk worm gut","Import","70","14","Weight in kilograms","14"
"Bahamas","2001","500600","Silk yarn retail, silk worm gut","Import","18","25","Weight in kilograms","25"
"Bahamas","1999","500600","Silk yarn retail, silk worm gut","Import","1694","2562","Weight in kilograms","2562"
"Bahamas","1997","500600","Silk yarn retail, silk worm gut","Import","553","175","Weight in kilograms","175"
"Bahrain","2010","500390","Silk waste, carded or combed","Import","2777","34","Weight in kilograms","34"
"Bahrain","2008","500390","Silk waste, carded or combed","Import","346","18","Weight in kilograms","18"
"Bahrain","2005","500390","Silk waste, carded or combed","Import","787","2","Weight in kilograms","2"
"Bahrain","2002","500500","Yarn spun from silk waste, not retail","Import","205","45","Weight in kilograms","45"
"Bangladesh","2011","500400","Silk yarn (except from waste) not retail","Import","13547","5000","Weight in kilograms","5000"
"Bangladesh","2010","500790","Woven fabric of silk, nes","Export","33152","1351","Weight in kilograms","1351"
"Bangladesh","2008","500400","Silk yarn (except from waste) not retail","Export","26482","10460","Weight in kilograms","10460"
"Bangladesh","2007","500600","Silk yarn retail, silk worm gut","Import","477246","72307","Weight in kilograms","72307"
"Bangladesh","2005","500310","Silk waste, not carded or combed","Import","26014","9982","Weight in kilograms","9982"
"Bangladesh","2004","500600","Silk yarn retail, silk worm gut","Import","289868","97963","Weight in kilograms","97963"
"Bangladesh","2003","500790","Woven fabric of silk, nes","Import","60780","100922","Weight in kilograms","100922"
"Bangladesh","2001","500400","Silk yarn (except from waste) not retail","Import","7222","2413","Weight in kilograms","2413"
"Bangladesh","2000","500720","Woven fabric >85% silk (except noil silk)","Export","1169","12","Weight in kilograms","12"
"Bangladesh","1996","500310","Silk waste, not carded or combed","Import","11859","2","Weight in kilograms","2"
"Bangladesh","1994","500790","Woven fabric of silk, nes","Export","33649","0","Length in metres","3214"
"Bangladesh","1990","500500","Yarn spun from silk waste, not retail","Export","3687","2500","Weight in kilograms","2500"
"Barbados","2012","500790","Woven fabric of silk, nes","Re-Export","1","1","Weight in kilograms","1"
"Barbados","2007","500100","Silk-worm cocoons suitable for reeling","Import","35","","No Quantity",""
"Barbados","2005","500600","Silk yarn retail, silk worm gut","Export","569","3000","Weight in kilograms","3000"
"Barbados","2003","500710","Woven fabric of noil silk","Import","4789","13","Weight in kilograms","13"
"Barbados","2000","500720","Woven fabric >85% silk (except noil silk)","Import","56344","270","Weight in kilograms","270"
"Belarus","2014","500720","Woven fabric >85% silk (except noil silk)","Import","618800","3712","Weight in kilograms","3712"
"Belarus","2012","500600","Silk yarn retail, silk worm gut","Import","30000","114","Weight in kilograms","114"
