,행정구역별(시군구),1975 ,1980 ,1985 ,1990 ,1995 ,2000 ,2005 ,2010 
경기도,하남시,39757 ,49379 ,81874 ,101325 ,115812 ,120513 ,122337 ,138829 
경기도,용인시,111461 ,135572 ,153787 ,187993 ,242643 ,386124 ,689691 ,856765 
경기도,파주시,166080 ,165098 ,164804 ,185028 ,163379 ,178434 ,242241 ,328128 
경기도,이천시,113666 ,109219 ,124905 ,148719 ,155332 ,179719 ,188556 ,195175 
경기도,안성시,132922 ,127934 ,121801 ,118285 ,120133 ,133421 ,159198 ,179782 
경기도,김포시,72603 ,74973 ,83740 ,96750 ,107684 ,150194 ,195776 ,224350 
경기도,화성시,161407 ,160067 ,165051 ,170779 ,158590 ,189467 ,288718 ,488758 
경기도,광주시,55747 ,57367 ,69983 ,76593 ,86156 ,125943 ,206304 ,228747 
경기도,양주시,65179 ,73780 ,74407 ,84672 ,94507 ,110299 ,152007 ,187911 
경기도,포천시,112311 ,107653 ,108581 ,110958 ,118558 ,138654 ,142189 ,140997 
경기도,여주군,104546 ,98236 ,93347 ,96895 ,92050 ,97612 ,98905 ,101203 
경기도,연천군,69228 ,68519 ,64863 ,61287 ,52116 ,49483 ,41561 ,41770 
경기도,가평군,70077 ,62007 ,57231 ,50957 ,49627 ,52147 ,49581 ,50879 
경기도,양평군,107014 ,93408 ,85728 ,77166 ,70603 ,75706 ,75314 ,82802 
강원도,강원도,1861549 ,1790954 ,1724809 ,1580430 ,1466238 ,1487011 ,1464559 ,1471513 
강원도,춘천시,204281 ,211018 ,212950 ,217869 ,234528 ,252547 ,260887 ,276232 
강원도,원주시,194416 ,198650 ,205418 ,214579 ,237460 ,268352 ,284360 ,311449 
강원도,강릉시,178883 ,203379 ,217209 ,229039 ,220403 ,228232 ,221329 ,218471 
강원도,동해시,92296 ,104310 ,91691 ,89162 ,95472 ,96679 ,93183 ,90574 
강원도,태백시,117090 ,111825 ,113997 ,89779 ,59397 ,54196 ,55344 ,51558 
강원도,속초시,71387 ,65792 ,69501 ,73805 ,82009 ,87985 ,84908 ,80791 
강원도,삼척시,140092 ,139627 ,132931 ,110557 ,83818 ,75647 ,68116 ,67454 
강원도,홍천군,120596 ,101006 ,90133 ,77799 ,67892 ,67210 ,66837 ,62888 
강원도,횡성군,90916 ,71483 ,60517 ,48489 ,42865 ,40990 ,38821 ,37798 
강원도,영월군,112588 ,95506 ,81869 ,64600 ,47722 ,43767 ,37085 ,35050 
강원도,평창군,93115 ,78699 ,68594 ,53259 ,45173 ,41210 ,38591 ,37522 
강원도,정선군,138507 ,133843 ,128696 ,88377 ,53833 ,46080 ,41129 ,35980 
강원도,철원군,65647 ,64375 ,59589 ,52591 ,49691 ,48008 ,43548 ,43271 
강원도,화천군,46025 ,38541 ,33701 ,28883 ,25170 ,22761 ,21718 ,22119 
강원도,양구군,39007 ,33689 ,30836 ,28495 ,23191 ,21165 ,19460 ,19363 
강원도,인제군,56561 ,47766 ,44200 ,36603 ,32828 ,30807 ,30469 ,28765 
강원도,고성군,55498 ,49225 ,46490 ,40901 ,36587 ,32245 ,29157 ,26753 
강원도,양양군,44644 ,42220 ,36487 ,35643 ,28199 ,29130 ,29617 ,25475 
충청북도,청주시,209210 ,269227 ,350256 ,477783 ,531376 ,586700 ,642805 ,666924 
충청북도,충주시,233148 ,217154 ,198898 ,193608 ,205206 ,217927 ,204800 ,203212 
충청북도,제천시,169897 ,161973 ,151727 ,137765 ,137070 ,143710 ,132864 ,134698 
충청북도,청원군,182756 ,157419 ,141825 ,114647 ,112132 ,116129 ,112728 ,143762 
충청북도,보은군,97662 ,80929 ,68167 ,52271 ,42700 ,38332 ,32516 ,30509 
충청북도,옥천군,103057 ,91289 ,83491 ,70130 ,61474 ,57586 ,51922 ,49730 
충청북도,영동군,108996 ,95073 ,84759 ,76818 ,62002 ,60468 ,49563 ,46231 
충청북도,진천군,75710 ,64130 ,56778 ,49259 ,52492 ,57559 ,58681 ,61915 
충청북도,괴산군,109030 ,85469 ,70347 ,52713 ,42924 ,38396 ,32304 ,31392 
충청북도,음성군,111171 ,96342 ,83411 ,74700 ,78258 ,84433 ,82970 ,84088 
충청북도,단양군,89806 ,72905 ,62961 ,49634 ,40038 ,36094 ,30528 ,28165 
충청북도,증평군,31669 ,32173 ,38384 ,40358 ,31056 ,29233 ,28772 ,31531 
충청남도,천안시,215757 ,231018 ,273201 ,313737 ,330259 ,417835 ,521887 ,574623 
충청남도,공주시,183075 ,167379 ,152218 ,158067 ,131229 ,130376 ,127076 ,122153 
충청남도,보령시,157882 ,151243 ,144877 ,146008 ,122604 ,109535 ,97176 ,97770 
충청남도,아산시,162302 ,157979 ,158350 ,164989 ,154663 ,180763 ,208415 ,278676 
충청남도,서산시,160958 ,150623 ,141934 ,148538 ,134746 ,143154 ,144091 ,156843 
충청남도,논산시,215105 ,196700 ,186006 ,175752 ,146619 ,137452 ,125332 ,119222 
충청남도,계룡시,11324 ,10592 ,5992 ,11684 ,15495 ,27122 ,31699 ,41528 
충청남도,금산군,122707 ,103989 ,95229 ,84064 ,63499 ,57929 ,53570 ,52952 
충청남도,연기군,105262 ,97357 ,92636 ,90502 ,80843 ,80031 ,80818 ,81447 
충청남도,부여군,174190 ,153769 ,134636 ,116908 ,94304 ,83687 ,73464 ,67584 
충청남도,서천군,140670 ,129512 ,109837 ,100545 ,79510 ,66929 ,57875 ,53914 
충청남도,청양군,85744 ,72697 ,61410 ,53750 ,40441 ,38601 ,31316 ,29755 
충청남도,홍성군,144086 ,132194 ,120316 ,105399 ,98210 ,90658 ,82793 ,82811 
충청남도,예산군,157294 ,147725 ,139970 ,128727 ,100143 ,97669 ,81977 ,77830 
충청남도,태안군,104744 ,98658 ,93788 ,83493 ,62566 ,65928 ,58739 ,53888 
충청남도,당진군,167816 ,150825 ,147767 ,131763 ,111723 ,117652 ,113267 ,137006 
전라북도,전주시,330536 ,387645 ,450056 ,517059 ,563153 ,616468 ,623298 ,649728 
전라북도,군산시,271806 ,271175 ,280913 ,287055 ,266569 ,272715 ,250011 ,260546 
전라북도,익산시,292656 ,301312 ,320198 ,309380 ,322685 ,323687 ,308144 ,296366 
전라북도,정읍시,248193 ,220950 ,199784 ,185323 ,139111 ,129152 ,115760 ,110352 
전라북도,남원시,175203 ,155088 ,140236 ,124524 ,103544 ,94926 ,86052 ,78770 
전라북도,김제시,221414 ,193188 ,170990 ,149791 ,115427 ,102589 ,90652 ,83302 
전라북도,완주군,149508 ,131784 ,113367 ,88354 ,81367 ,79137 ,79541 ,83408 
전라북도,진안군,95753 ,78485 ,63232 ,44755 ,32105 ,30276 ,23992 ,20446 
전라북도,무주군,71177 ,56660 ,47338 ,37188 ,29432 ,27462 ,22393 ,21827 
전라북도,장수군,73138 ,57820 ,47390 ,34172 ,26887 ,23316 ,20567 ,19424 
전라북도,임실군,104294 ,83973 ,68478 ,48338 ,37201 ,30799 ,25757 ,23663 
전라북도,순창군,91698 ,73635 ,60582 ,45466 ,35337 ,30515 ,26331 ,25241 
전라북도,고창군,175197 ,144961 ,125223 ,95732 ,76778 ,64936 ,56182 ,53333 
전라북도,부안군,155805 ,131013 ,114291 ,102823 ,72448 ,64691 ,55333 ,50814 
전라남도,목포시,192958 ,221814 ,236085 ,243064 ,247452 ,250480 ,244888 ,249960 
전라남도,여수시,282025 ,306977 ,312845 ,305532 ,314178 ,303233 ,277995 ,269937 
전라남도,순천시,246539 ,238159 ,245202 ,271558 ,249263 ,265930 ,262120 ,258670 
전라남도,나주시,212246 ,186005 ,166927 ,158634 ,107831 ,99533 ,87212 ,78679 
전라남도,광양시,88561 ,78635 ,90841 ,150291 ,122052 ,132639 ,135881 ,137810 
전라남도,담양군,108273 ,91141 ,84773 ,73855 ,61041 ,54597 ,43574 ,41027 
전라남도,곡성군,93104 ,75101 ,63826 ,49707 ,41026 ,38042 ,29742 ,27272 
전라남도,구례군,68703 ,57967 ,49507 ,41398 ,34247 ,28705 ,24745 ,22419 
전라남도,고흥군,217446 ,191639 ,160857 ,134294 ,100884 ,87738 ,72700 ,63392 
전라남도,보성군,152912 ,127531 ,121608 ,106742 ,65645 ,55924 ,45964 ,40166 
전라남도,화순군,130410 ,107405 ,91998 ,86697 ,63816 ,72162 ,67948 ,62219 
전라남도,장흥군,123924 ,112961 ,89626 ,68284 ,52209 ,48305 ,40044 ,35763 
전라남도,강진군,107499 ,91811 ,79120 ,70592 ,49151 ,44055 ,36648 ,34204 
전라남도,해남군,198881 ,168689 ,150794 ,134279 ,96145 ,89603 ,74086 ,66042 
전라남도,영암군,118620 ,100037 ,86287 ,68833 ,55353 ,60343 ,61256 ,58748 
전라남도,무안군,128060 ,115327 ,102691 ,90498 ,67757 ,62352 ,54458 ,68462 
전라남도,함평군,119167 ,96358 ,78178 ,63091 ,48365 ,41292 ,36188 ,30995 
전라남도,영광군,142623 ,119600 ,114097 ,85483 ,68641 ,65529 ,60462 ,48663 
전라남도,장성군,115859 ,94869 ,81631 ,61838 ,52179 ,49703 ,42029 ,38507 
전라남도,완도군,141070 ,126762 ,111205 ,85751 ,64764 ,61517 ,51325 ,46777 
전라남도,진도군,100380 ,83424 ,72797 ,54609 ,42371 ,38459 ,32091 ,28565 
전라남도,신안군,157502 ,130979 ,115025 ,102409 ,62472 ,46315 ,38463 ,33222 
경상북도,포항시,328433 ,396383 ,419627 ,482836 ,508899 ,515714 ,489698 ,511390 
경상북도,경주시,287833 ,289234 ,274803 ,267491 ,273968 ,275842 ,267872 ,256150 
경상북도,김천시,194524 ,177939 ,163263 ,151995 ,147027 ,147855 ,135923 ,127889 
