시도명,구시군명,읍면동명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,계
,,,,,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",,,
서울특별시,금천구,시흥제5동,"19,126","13,799","6,567","7,098",6,10,20,12,86,"5,327","19,126"
서울특별시,영등포구,영등포본동,"20,475","15,260","6,975","8,170",9,4,25,12,65,"5,215","20,475"
서울특별시,영등포구,영등포동,"16,814","11,334","5,716","5,506",5,9,23,14,61,"5,480","16,814"
서울특별시,영등포구,여의동,"26,856","20,741","13,547","7,053",1,6,59,7,68,"6,115","26,856"
서울특별시,영등포구,당산제1동,"17,221","12,957","5,963","6,880",6,9,32,11,56,"4,264","17,221"
서울특별시,영등포구,당산제2동,"27,417","21,598","10,248","11,191",11,16,47,15,70,"5,819","27,417"
서울특별시,영등포구,도림동,"15,705","11,089","4,975","6,017",9,10,21,8,49,"4,616","15,705"
서울특별시,영등포구,문래동,"25,299","20,390","9,755","10,508",9,6,38,13,61,"4,909","25,299"
서울특별시,영등포구,양평제1동,"14,002","10,838","4,699","6,044",5,10,17,14,49,"3,164","14,002"
서울특별시,영등포구,양평제2동,"17,308","13,681","5,877","7,692",5,10,27,12,58,"3,627","17,308"
서울특별시,영등포구,신길제1동,"17,436","12,398","5,684","6,598",12,9,19,8,68,"5,038","17,436"
서울특별시,영등포구,신길제3동,"13,530","9,947","4,782","5,075",3,7,17,11,52,"3,583","13,530"
서울특별시,영등포구,신길제4동,"10,526","7,600","3,731","3,787",7,6,12,9,48,"2,926","10,526"
서울특별시,영등포구,신길제5동,"13,564","9,618","4,483","5,030",10,3,25,15,52,"3,946","13,564"
서울특별시,영등포구,신길제6동,"18,764","13,966","6,539","7,301",7,6,36,12,65,"4,798","18,764"
서울특별시,영등포구,신길제7동,"11,862","9,202","4,905","4,219",5,4,24,10,35,"2,660","11,862"
서울특별시,영등포구,대림제1동,"13,692","9,771","4,355","5,332",5,3,13,9,54,"3,921","13,692"
서울특별시,영등포구,대림제2동,"14,675","10,275","4,606","5,583",5,7,12,7,55,"4,400","14,675"
서울특별시,영등포구,대림제3동,"23,009","17,271","7,521","9,596",16,8,35,11,84,"5,738","23,009"
서울특별시,동작구,노량진제1동,"28,047","21,901","10,072","11,624",14,15,48,12,116,"6,146","28,047"
서울특별시,동작구,노량진제2동,"13,403","9,586","4,276","5,230",6,4,15,8,47,"3,817","13,403"
서울특별시,동작구,상도제1동,"33,984","26,169","11,845","14,111",13,17,53,19,111,"7,815","33,984"
서울특별시,동작구,상도제2동,"20,855","15,897","7,451","8,296",2,11,40,15,82,"4,958","20,855"
서울특별시,동작구,상도제3동,"20,241","15,243","6,544","8,565",11,7,34,13,69,"4,998","20,241"
